Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,45.730000,46.279999,37.410000,37.750000,35.773239,10583700
2017-11-01,37.959999,39.790001,36.389999,38.610001,36.588207,9229900
2017-12-01,38.709999,40.419998,37.990002,39.660000,37.583225,6070300
2018-01-01,39.980000,46.660000,39.980000,45.950001,43.888153,5034500
2018-02-01,45.740002,46.959999,41.759998,42.180000,40.287319,5491700
2018-03-01,42.310001,44.500000,41.250000,42.020000,40.134499,7190000
2018-04-01,41.990002,51.380001,41.919998,47.660000,45.918659,9341000
2018-05-01,47.480000,48.400002,44.580002,46.380001,44.685425,17053600
2018-06-01,46.730000,48.220001,45.750000,47.779999,46.034271,7163400
2018-07-01,47.389999,50.599998,45.700001,45.910000,44.572891,6091400
2018-08-01,45.980000,47.049999,42.630001,43.360001,42.097157,9574700
2018-09-01,43.029999,43.139999,39.130001,41.720001,40.504921,6239400
2018-10-01,41.820000,42.959999,35.919998,36.939999,36.151264,9004400
2018-11-01,37.580002,43.000000,37.209999,40.009998,39.155716,6884400
2018-12-01,40.740002,42.270000,35.520000,38.099998,37.286495,5668700
2019-01-01,37.720001,44.820000,37.529999,44.599998,44.025490,6845700
2019-02-01,44.410000,48.869999,44.299999,48.340000,47.717316,5706000
2019-03-01,48.549999,54.660000,47.029999,51.060001,50.402279,8934100
2019-04-01,51.630001,55.400002,50.360001,50.720001,50.066658,6730600
2019-05-01,50.810001,51.139999,44.660000,46.970001,46.664097,6661200
2019-06-01,47.230000,51.849998,45.730000,51.040001,50.707588,5958300
2019-07-01,51.900002,53.020000,48.849998,49.880001,49.880001,3709300
2019-08-01,49.560001,52.750000,46.340000,49.799999,49.799999,6635300
2019-09-01,49.090000,51.889999,48.270000,50.830002,50.830002,4675700
