Date,Open,High,Low,Close,Adj Close,Volume
2017-10-01,9.380000,11.150000,9.360000,11.090000,10.270385,23052300
2017-11-01,11.230000,12.300000,10.960000,11.600000,10.742693,32652800
2017-12-01,11.680000,14.700000,11.650000,14.630000,13.548758,18415200
2018-01-01,14.870000,20.549999,14.690000,18.870001,17.475397,44005700
2018-02-01,18.870001,19.799999,15.900000,17.510000,16.215908,34763600
2018-03-01,17.469999,20.290001,16.830000,19.330000,17.901402,28155800
2018-04-01,19.360001,22.660000,19.070000,22.080000,20.448158,34638300
2018-05-01,22.000000,23.340000,20.219999,21.490000,20.494087,32342000
2018-06-01,21.580000,22.410000,18.680000,20.549999,19.597649,27380200
2018-07-01,20.370001,21.670000,19.790001,21.370001,20.379648,18486500
2018-08-01,21.350000,22.760000,19.549999,22.600000,21.552647,19896900
2018-09-01,22.750000,27.150000,21.820000,26.930000,25.681980,25043600
2018-10-01,27.160000,27.959999,22.750000,23.260000,22.182060,31729500
2018-11-01,23.320000,23.610001,18.469999,19.209999,18.319748,30684300
2018-12-01,19.889999,20.549999,15.250000,15.880000,15.144072,19773300
2019-01-01,15.600000,19.139999,15.510000,18.850000,17.976433,19244800
2019-02-01,18.930000,21.379999,18.010000,20.240000,19.302015,16825200
2019-03-01,20.340000,23.240000,19.450001,21.440001,20.446405,18215100
2019-04-01,21.700001,22.139999,18.170000,18.490000,17.633116,19304000
2019-05-01,18.480000,19.020000,16.110001,16.389999,16.389999,18182600
2019-06-01,16.540001,19.030001,16.540001,18.290001,18.290001,12541900
2019-07-01,18.680000,19.400000,17.910000,17.930000,17.930000,11479700
2019-08-01,17.510000,17.959999,15.210000,15.790000,15.790000,15347500
2019-09-01,15.450000,18.200001,15.380000,17.459999,17.459999,10053700
